date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:02:33	170/170	UR-MCZ	200	added ('OK')	application/javascript	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/templates/parallax-template/js/init.js	/home/pedro/websites/Materialize/materializecss.com/templates/parallax-template/js/init.js	(from http://materializecss.com/templates/parallax-template/preview.html)
17:02:34	3220050/3220050	URF---	200	added ('OK%20(cached)')	image/jpeg		https://ununsplash.imgix.net/photo-1414849424631-8b18529a81ca?q=75&fm=jpg&s=0e993004a2f3704e8f2ad5469315ccb7	/home/pedro/websites/Materialize/ununsplash.imgix.net/photo-1414849424631-8b18529a81ca86b9.jpg	(from http://materializecss.com/fullscreen-slider-demo.html)
17:02:37	204638/204638	URF---	200	added ('OK%20(cached)')	image/jpeg		http://materializecss.com/images/parallax1.jpg	/home/pedro/websites/Materialize/materializecss.com/images/parallax1.jpg	(from http://materializecss.com/parallax-demo.html)
17:02:44	526524/526524	URF---	200	added ('OK%20(cached)')	image/jpeg		https://ununsplash.imgix.net/uploads/1413259835094dcdeb9d3/6e609595?q=75&fm=jpg&s=6a4fc66161293fc4a43a6ca6f073d1c5	/home/pedro/websites/Materialize/ununsplash.imgix.net/uploads/1413259835094dcdeb9d3/6e609595854a.jpg	(from http://materializecss.com/fullscreen-slider-demo.html)
17:02:46	152695/152695	URF---	200	added ('OK%20(cached)')	image/jpeg		http://materializecss.com/images/parallax2.jpg	/home/pedro/websites/Materialize/materializecss.com/images/parallax2.jpg	(from http://materializecss.com/parallax-demo.html)
17:02:48	21659/21659	URF---	200	added ('OK%20(cached)')	application/eot		http://materializecss.com/fonts/roboto/Roboto-Thin.eot	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Thin.eot	(from http://materializecss.com/css/ghpages-materialize.css)
17:02:56	48524/48524	URF---	200	added ('OK%20(cached)')	application/woff2		http://materializecss.com/fonts/roboto/Roboto-Thin.woff2	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Thin.woff2	(from http://materializecss.com/css/ghpages-materialize.css)
17:02:56	21659/21659	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/fonts/roboto/Roboto-Thin.eot?	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Thind41d.eot	(from http://materializecss.com/css/ghpages-materialize.css)
17:03:04	298716/298716	UR-MCZ	200	added ('OK')	application/javascript	date:Sat,%2030%20Jul%202016%2001:55:06%20GMT	http://materializecss.com/dist/js/materialize.js	/home/pedro/websites/Materialize/materializecss.com/dist/js/materialize.js	(from http://materializecss.com/templates/parallax-template/preview.html)
17:03:11	61628/61628	URF---	200	added ('OK%20(cached)')	application/woff		http://materializecss.com/fonts/roboto/Roboto-Thin.woff	/home/pedro/websites/Materialize/materializecss.com/fonts/roboto/Roboto-Thin.woff	(from http://materializecss.com/css/ghpages-materialize.css)
